2.751Am^-2 2GHz0.1310228688265936
2.752Am^-2 2GHz0.1320428621206785
2.7529999999999997Am^-2 2GHz0.13307868549943125
2.754Am^-2 2GHz0.13412827987334547
2.755Am^-2 2GHz0.13518958270025738
2.756Am^-2 2GHz0.13626053769650395
2.7569999999999997Am^-2 2GHz0.13733910469976682
2.758Am^-2 2GHz0.1384232696267049
2.759Am^-2 2GHz0.13951105375762288
2.76Am^-2 2GHz0.14060052295457634
2.7609999999999997Am^-2 2GHz0.1416897960889639
2.762Am^-2 2GHz0.14277705268374227
2.763Am^-2 2GHz0.1438605401210175
2.764Am^-2 2GHz0.1449385795737626
2.7649999999999997Am^-2 2GHz0.14600957121823588
2.766Am^-2 2GHz0.14707199881809763
2.767Am^-2 2GHz0.14812443306269282
2.768Am^-2 2GHz0.1491655343325971
2.7689999999999997Am^-2 2GHz0.15019405473714018
2.77Am^-2 2GHz0.1512088390923118
2.771Am^-2 2GHz0.15220882562756183
2.772Am^-2 2GHz0.1531930455876141
2.7729999999999997Am^-2 2GHz0.1541606225254667
2.774Am^-2 2GHz0.15511077083036995
2.775Am^-2 2GHz0.1560427936307974
2.776Am^-2 2GHz0.15695608037348027
2.7769999999999997Am^-2 2GHz0.1578501035594181
2.778Am^-2 2GHz0.1587244156209968
2.779Am^-2 2GHz0.1595786449068069
2.78Am^-2 2GHz0.16041249186060122
2.7809999999999997Am^-2 2GHz0.16122572480977337
2.782Am^-2 2GHz0.16201817590148967
2.783Am^-2 2GHz0.16278973683344672
2.784Am^-2 2GHz0.16354035491042876
2.7849999999999997Am^-2 2GHz0.1642700288225474
2.7859999999999996Am^-2 2GHz0.16497880493460404
2.787Am^-2 2GHz0.1656667732548306
2.788Am^-2 2GHz0.16633406344538784
2.7889999999999997Am^-2 2GHz0.16698084068854208
2.79Am^-2 2GHz0.16760730145962713
2.791Am^-2 2GHz0.1682136686778301
2.792Am^-2 2GHz0.1688001867367929
2.7929999999999997Am^-2 2GHz0.16936711585492153
2.7939999999999996Am^-2 2GHz0.16991472602187305
2.795Am^-2 2GHz0.170443290929065
2.796Am^-2 2GHz0.1709530809816047
2.7969999999999997Am^-2 2GHz0.1714443568205194
2.798Am^-2 2GHz0.17191736263134222
2.799Am^-2 2GHz0.17237232012236928
2.8Am^-2 2GHz0.17280942281370612
2.8009999999999997Am^-2 2GHz0.1732288315828468
2.8019999999999996Am^-2 2GHz0.17363067132534318
2.803Am^-2 2GHz0.1740150288771212
2.804Am^-2 2GHz0.17438195273473858
2.8049999999999997Am^-2 2GHz0.1747314540470079
2.806Am^-2 2GHz0.1750635098075697
